Season,Round,TrackType,Circuit,Weather,Rainfall,Driver,Team,GridPosition,FinishingPosition,Q1,Q2,Q3,MeanDeltaQ1,MeanDeltaQ2,MeanDeltaQ3
2018,7,High-Street,Montr?l,20.52358490566038,0,HAR,Toro Rosso,12,19,72.587,72.635,1000,-0.124157895,0.5366000000000071,928.5339
2018,7,High-Street,Montr?l,20.52358490566038,0,STR,Williams,17,20,73.59,1000,1000,0.8788421052631605,927.9016,928.5339
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,HAM,Mercedes,1,1,91.271,90.645,90.029,-1.19225,-1.003533333,-1.184777778
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,VER,Red Bull Racing,4,2,91.531,90.818,90.705,-0.93225,-0.830533333,-0.508777778
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,RAI,Ferrari,6,3,91.567,90.772,91.057,-0.89625,-0.876533333,-0.156777778
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,RIC,Red Bull Racing,5,4,91.91,91.538,90.895,-0.55325,-0.110533333,-0.318777778
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,VET,Ferrari,3,5,91.82,90.751,90.4,-0.64325,-0.897533333,-0.813777778
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,MAG,Haas F1 Team,9,6,92.169,91.51,92.93,-0.29425,-0.138533333,1.7162222222222283
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,BOT,Mercedes,2,7,91.776,91.227,90.147,-0.68725,-0.421533333,-1.066777778
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,SAI,Renault,7,8,92.394,92.016,92.126,-0.06925,0.3674666666666724,0.9122222222222263
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,HUL,Renault,12,9,92.949,92.115,1000,0.4857500000000101,0.4664666666666619,908.7862222222222
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,LEC,Sauber,8,10,92.538,92.055,92.635,0.07475000000000875,0.40646666666667386,1.4212222222222266
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,GRO,Haas F1 Team,10,11,92.083,91.472,1000,-0.38025,-0.176533333,908.7862222222222
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,VAN,McLaren,17,12,93.162,1000,1000,0.6987500000000182,908.3514666666666,908.7862222222222
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,ERI,Sauber,15,13,92.804,92.82,1000,0.3407500000000141,1.1714666666666602,908.7862222222222
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,HAR,Toro Rosso,20,14,93.025,1000,1000,0.5617500000000177,908.3514666666666,908.7862222222222
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,SIR,Williams,18,15,93.636,1000,1000,1.1727500000000077,908.3514666666666,908.7862222222222
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,ALO,McLaren,16,16,92.976,1000,1000,0.5127500000000111,908.3514666666666,908.7862222222222
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,STR,Williams,19,17,93.729,1000,1000,1.2657500000000113,908.3514666666666,908.7862222222222
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,PER,Force India,13,18,92.692,92.454,1000,0.22875000000000512,0.8054666666666606,908.7862222222222
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,OCO,Force India,11,19,92.786,92.075,1000,0.3227500000000134,0.4264666666666699,908.7862222222222
2018,8,High-Circuit,Le Castellet,24.54607843137256,0,GAS,Toro Rosso,14,20,92.447,92.46,1000,-0.01625,0.8114666666666608,908.7862222222222
2018,9,High-Circuit,Spielberg,23.176086956521743,0,VER,Red Bull Racing,4,1,64.273,64.001,63.84,-0.5479,-0.391333333,-0.0526
2018,9,High-Circuit,Spielberg,23.176086956521743,0,RAI,Ferrari,3,2,64.234,63.975,63.66,-0.5869,-0.417333333,-0.2326
2018,9,High-Circuit,Spielberg,23.176086956521743,0,VET,Ferrari,6,3,64.347,63.544,63.464,-0.4739,-0.848333333,-0.4286
2018,9,High-Circuit,Spielberg,23.176086956521743,0,GRO,Haas F1 Team,5,4,64.242,64.059,63.892,-0.5789,-0.333333333,-0.0006
2018,9,High-Circuit,Spielberg,23.176086956521743,0,MAG,Haas F1 Team,8,5,64.46,64.291,64.051,-0.3609,-0.101333333,0.15840000000000032
2018,9,High-Circuit,Spielberg,23.176086956521743,0,OCO,Force India,11,6,65.148,64.845,1000,0.3271000000000015,0.45266666666667277,936.1074
2018,9,High-Circuit,Spielberg,23.176086956521743,0,PER,Force India,16,7,65.279,1000,1000,0.45810000000000173,935.6076666666667,936.1074
2018,9,High-Circuit,Spielberg,23.176086956521743,0,ALO,McLaren,13,8,64.965,65.05799999999999,1000,0.14410000000000878,0.6656666666666666,936.1074
2018,9,High-Circuit,Spielberg,23.176086956521743,0,LEC,Sauber,18,9,64.967,64.979,1000,0.14610000000000412,0.5866666666666731,936.1074
2018,9,High-Circuit,Spielberg,23.176086956521743,0,ERI,Sauber,20,10,65.479,1000,1000,0.6581000000000046,935.6076666666667,936.1074
2018,9,High-Circuit,Spielberg,23.176086956521743,0,GAS,Toro Rosso,12,11,65.011,64.874,1000,0.19010000000000105,0.48166666666666913,936.1074
2018,9,High-Circuit,Spielberg,23.176086956521743,0,SAI,Renault,9,12,64.94800000000001,64.561,64.725,0.12710000000001287,0.16866666666668095,0.8323999999999927
2018,9,High-Circuit,Spielberg,23.176086956521743,0,SIR,Williams,17,13,65.322,1000,1000,0.5011000000000081,935.6076666666667,936.1074
2018,9,High-Circuit,Spielberg,23.176086956521743,0,STR,Williams,14,14,65.264,65.286,1000,0.44310000000000116,0.8936666666666753,936.1074
2018,9,High-Circuit,Spielberg,23.176086956521743,0,VAN,McLaren,15,15,65.271,1000,1000,0.45010000000000616,935.6076666666667,936.1074
2018,9,High-Circuit,Spielberg,23.176086956521743,0,HAM,Mercedes,2,16,64.08,63.577,63.149,-0.7409,-0.815333333,-0.7436
2018,9,High-Circuit,Spielberg,23.176086956521743,0,HAR,Toro Rosso,19,17,65.366,1000,1000,0.545100000000005,935.6076666666667,936.1074
2018,9,High-Circuit,Spielberg,23.176086956521743,0,RIC,Red Bull Racing,7,18,64.723,64.403,63.996,-0.0979,0.010666666666679703,0.1034000000000006
2018,9,High-Circuit,Spielberg,23.176086956521743,0,BOT,Mercedes,1,19,64.175,63.756,63.13,-0.6459,-0.636333333,-0.7626
