Index,Season,Round,RaceName,Circuit,Track_Type,Weather,Driver,Team,Grid_Position,Finishing_Position
163,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,RUS,Mercedes,8,4
164,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,LEC,Ferrari,19,5
165,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,OCO,Alpine,7,6
166,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,BOT,Alfa Romeo,11,7
167,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,ZHO,Alfa Romeo,10,8
168,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,ALO,Alpine,2,9
169,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,STR,Aston Martin,17,10
170,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,RIC,McLaren,9,11
171,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,VET,Aston Martin,16,12
172,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,ALB,Williams,12,13
173,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,GAS,AlphaTauri,15,14
174,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,NOR,McLaren,14,15
175,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,LAT,Williams,18,16
176,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,MAG,Haas F1 Team,5,17
177,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,TSU,AlphaTauri,20,18
178,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,MSC,Haas F1 Team,6,19
179,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,PER,Red Bull Racing,13,20
180,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,SAI,Ferrari,1,1
181,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,PER,Red Bull Racing,4,2
182,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,HAM,Mercedes,5,3
183,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,LEC,Ferrari,3,4
184,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,ALO,Alpine,7,5
185,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,NOR,McLaren,6,6
186,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,VER,Red Bull Racing,2,7
187,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,MSC,Haas F1 Team,19,8
188,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,VET,Aston Martin,18,9
189,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,MAG,Haas F1 Team,17,10
190,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,STR,Aston Martin,20,11
191,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,LAT,Williams,10,12
192,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,RIC,McLaren,14,13
193,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,TSU,AlphaTauri,13,14
194,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,OCO,Alpine,15,15
195,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,GAS,AlphaTauri,11,16
196,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,BOT,Alfa Romeo,12,17
197,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,RUS,Mercedes,8,18
198,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,ZHO,Alfa Romeo,9,19
199,2022,10,British Grand Prix,Silverstone,Mid-Circuit,18.25320197044335,ALB,Williams,16,20
200,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,LEC,Ferrari,2,1
201,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,VER,Red Bull Racing,1,2
202,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,HAM,Mercedes,8,3
203,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,RUS,Mercedes,4,4
204,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,OCO,Alpine,6,5
205,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,MSC,Haas F1 Team,9,6
206,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,NOR,McLaren,10,7
207,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,MAG,Haas F1 Team,7,8
208,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,RIC,McLaren,11,9
209,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,ALO,Alpine,19,10
210,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,BOT,Alfa Romeo,0,11
211,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,ALB,Williams,15,12
212,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,STR,Aston Martin,12,13
213,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,ZHO,Alfa Romeo,13,14
214,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,GAS,AlphaTauri,14,15
215,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,TSU,AlphaTauri,16,16
216,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,VET,Aston Martin,18,17
217,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,SAI,Ferrari,3,18
218,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,LAT,Williams,17,19
219,2022,11,Austrian Grand Prix,Spielberg,High-Circuit,20.25592105263158,PER,Red Bull Racing,5,20
220,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,VER,Red Bull Racing,2,1
221,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,HAM,Mercedes,4,2
222,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,RUS,Mercedes,6,3
223,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,PER,Red Bull Racing,3,4
224,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,SAI,Ferrari,19,5
225,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,ALO,Alpine,7,6
226,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,NOR,McLaren,5,7
227,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,OCO,Alpine,10,8
228,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,RIC,McLaren,9,9
229,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,STR,Aston Martin,15,10
230,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,VET,Aston Martin,12,11
231,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,GAS,AlphaTauri,14,12
232,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,ALB,Williams,13,13
233,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,BOT,Alfa Romeo,11,14
234,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,MSC,Haas F1 Team,17,15
235,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,ZHO,Alfa Romeo,16,16
236,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,LAT,Williams,18,17
237,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,MAG,Haas F1 Team,20,18
238,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,LEC,Ferrari,1,19
239,2022,12,French Grand Prix,Le Castellet,High-Circuit,30.164843750000003,TSU,AlphaTauri,8,20
240,2022,13,Hungarian Grand Prix,Budapest,Low-Circuit,18.55988023952096,VER,Red Bull Racing,10,1
241,2022,13,Hungarian Grand Prix,Budapest,Low-Circuit,18.55988023952096,HAM,Mercedes,7,2
242,2022,13,Hungarian Grand Prix,Budapest,Low-Circuit,18.55988023952096,RUS,Mercedes,1,3
243,2022,13,Hungarian Grand Prix,Budapest,Low-Circuit,18.55988023952096,SAI,Ferrari,2,4
244,2022,13,Hungarian Grand Prix,Budapest,Low-Circuit,18.55988023952096,PER,Red Bull Racing,11,5
245,2022,13,Hungarian Grand Prix,Budapest,Low-Circuit,18.55988023952096,LEC,Ferrari,3,6
246,2022,13,Hungarian Grand Prix,Budapest,Low-Circuit,18.55988023952096,NOR,McLaren,4,7
247,2022,13,Hungarian Grand Prix,Budapest,Low-Circuit,18.55988023952096,ALO,Alpine,6,8
248,2022,13,Hungarian Grand Prix,Budapest,Low-Circuit,18.55988023952096,OCO,Alpine,5,9
249,2022,13,Hungarian Grand Prix,Budapest,Low-Circuit,18.55988023952096,VET,Aston Martin,18,10
250,2022,13,Hungarian Grand Prix,Budapest,Low-Circuit,18.55988023952096,STR,Aston Martin,14,11
251,2022,13,Hungarian Grand Prix,Budapest,Low-Circuit,18.55988023952096,GAS,AlphaTauri,0,12
252,2022,13,Hungarian Grand Prix,Budapest,Low-Circuit,18.55988023952096,ZHO,Alfa Romeo,12,13
