Season,Round,TrackType,Circuit,Weather,Rainfall,Driver,Team,GridPosition,FinishingPosition,Q1,Q2,Q3
2018,7,High-Street,Montréal,20.52358490566038,0,SAI,Renault,9,8,72.689,72.097,72.168
2018,7,High-Street,Montréal,20.52358490566038,0,OCO,Force India,8,9,72.577,72.141,72.084
2018,7,High-Street,Montréal,20.52358490566038,0,LEC,Sauber,13,10,72.945,72.661,1000
2018,7,High-Street,Montréal,20.52358490566038,0,GAS,Toro Rosso,16,11,73.047,1000,1000
2018,7,High-Street,Montréal,20.52358490566038,0,GRO,Haas F1 Team,20,12,1000,1000,1000
2018,7,High-Street,Montréal,20.52358490566038,0,MAG,Haas F1 Team,11,13,72.68,72.606,1000
2018,7,High-Street,Montréal,20.52358490566038,0,PER,Force India,10,14,72.702,72.395,72.67099999999999
2018,7,High-Street,Montréal,20.52358490566038,0,ERI,Sauber,19,15,74.593,1000,1000
2018,7,High-Street,Montréal,20.52358490566038,0,VAN,McLaren,15,16,72.998,72.865,1000
2018,7,High-Street,Montréal,20.52358490566038,0,SIR,Williams,18,17,73.643,1000,1000
2018,7,High-Street,Montréal,20.52358490566038,0,ALO,McLaren,14,18,72.979,72.856,1000
2018,7,High-Street,Montréal,20.52358490566038,0,HAR,Toro Rosso,12,19,72.587,72.635,1000
2018,7,High-Street,Montréal,20.52358490566038,0,STR,Williams,17,20,73.59,1000,1000
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,HAM,Mercedes,1,1,91.271,90.645,90.029
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,VER,Red Bull Racing,4,2,91.531,90.818,90.705
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,RAI,Ferrari,6,3,91.567,90.772,91.057
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,RIC,Red Bull Racing,5,4,91.91,91.538,90.895
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,VET,Ferrari,3,5,91.82,90.751,90.4
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,MAG,Haas F1 Team,9,6,92.169,91.51,92.93
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,BOT,Mercedes,2,7,91.776,91.227,90.147
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,SAI,Renault,7,8,92.394,92.016,92.126
